Trial:145	Epochs:20	LearningRate:0.009	BatchSize:64
Epoch:0	TrainingLoss:1.07	ValidLoss:0.71	Accuracy:72.95
Epoch:1	TrainingLoss:0.55	ValidLoss:0.53	Accuracy:81.08
Epoch:2	TrainingLoss:0.47	ValidLoss:0.44	Accuracy:84.40
Epoch:3	TrainingLoss:0.41	ValidLoss:0.40	Accuracy:85.46
Epoch:4	TrainingLoss:0.38	ValidLoss:0.39	Accuracy:86.06
Epoch:5	TrainingLoss:0.35	ValidLoss:0.37	Accuracy:86.42
Epoch:6	TrainingLoss:0.33	ValidLoss:0.35	Accuracy:87.49
Epoch:7	TrainingLoss:0.32	ValidLoss:0.37	Accuracy:86.33
Epoch:8	TrainingLoss:0.31	ValidLoss:0.36	Accuracy:86.96
Epoch:9	TrainingLoss:0.30	ValidLoss:0.33	Accuracy:88.15
Epoch:10	TrainingLoss:0.28	ValidLoss:0.32	Accuracy:88.67
Epoch:11	TrainingLoss:0.27	ValidLoss:0.32	Accuracy:88.53
Epoch:12	TrainingLoss:0.27	ValidLoss:0.32	Accuracy:88.97
Epoch:13	TrainingLoss:0.26	ValidLoss:0.34	Accuracy:88.19
Epoch:14	TrainingLoss:0.25	ValidLoss:0.32	Accuracy:88.43
Epoch:15	TrainingLoss:0.24	ValidLoss:0.32	Accuracy:88.76
Epoch:16	TrainingLoss:0.24	ValidLoss:0.33	Accuracy:88.46
Epoch:17	TrainingLoss:0.23	ValidLoss:0.32	Accuracy:89.18
Epoch:18	TrainingLoss:0.22	ValidLoss:0.33	Accuracy:89.06
Epoch:19	TrainingLoss:0.22	ValidLoss:0.33	Accuracy:89.13
TestingAccuracy:88.61
