Trial:2	lr:0.0003	Epochs:15
Epoch:0	Loss:2.3051	Accuracy:10.01
Epoch:1	Loss:2.2957	Accuracy:10.01
Epoch:2	Loss:2.1616	Accuracy:18.99
Epoch:3	Loss:1.0891	Accuracy:58.97
Epoch:4	Loss:0.8635	Accuracy:67.35
Epoch:5	Loss:0.7863	Accuracy:69.88
Epoch:6	Loss:0.7322	Accuracy:71.99
Epoch:7	Loss:0.6903	Accuracy:74.10
Epoch:8	Loss:0.6536	Accuracy:75.46
Epoch:9	Loss:0.6223	Accuracy:76.75
Epoch:10	Loss:0.6025	Accuracy:77.61
Epoch:11	Loss:0.5839	Accuracy:78.20
Epoch:12	Loss:0.5644	Accuracy:79.02
Epoch:13	Loss:0.5508	Accuracy:79.60
Epoch:14	Loss:0.5344	Accuracy:80.29
