Trial:146	Epochs:20	LearningRate:0.008	BatchSize:64
Epoch:0	TrainingLoss:1.142	ValidLoss:0.636	Accuracy:76.525
Epoch:1	TrainingLoss:0.552	ValidLoss:0.496	Accuracy:81.850
Epoch:2	TrainingLoss:0.463	ValidLoss:0.478	Accuracy:82.267
Epoch:3	TrainingLoss:0.410	ValidLoss:0.403	Accuracy:85.342
Epoch:4	TrainingLoss:0.373	ValidLoss:0.385	Accuracy:85.917
Epoch:5	TrainingLoss:0.348	ValidLoss:0.368	Accuracy:86.667
Epoch:6	TrainingLoss:0.331	ValidLoss:0.345	Accuracy:87.675
Epoch:7	TrainingLoss:0.316	ValidLoss:0.351	Accuracy:87.200
Epoch:8	TrainingLoss:0.298	ValidLoss:0.337	Accuracy:88.008
Epoch:9	TrainingLoss:0.286	ValidLoss:0.321	Accuracy:88.850
Epoch:10	TrainingLoss:0.275	ValidLoss:0.337	Accuracy:88.133
Epoch:11	TrainingLoss:0.268	ValidLoss:0.313	Accuracy:88.925
Epoch:12	TrainingLoss:0.260	ValidLoss:0.326	Accuracy:88.475
Epoch:13	TrainingLoss:0.251	ValidLoss:0.311	Accuracy:89.142
Epoch:14	TrainingLoss:0.244	ValidLoss:0.311	Accuracy:89.142
Epoch:15	TrainingLoss:0.235	ValidLoss:0.319	Accuracy:89.133
Epoch:16	TrainingLoss:0.231	ValidLoss:0.335	Accuracy:88.883
Epoch:17	TrainingLoss:0.223	ValidLoss:0.350	Accuracy:87.783
Epoch:18	TrainingLoss:0.216	ValidLoss:0.312	Accuracy:89.367
Epoch:19	TrainingLoss:0.209	ValidLoss:0.320	Accuracy:89.617
TestingAccuracy:89.54
