Trial:150	Epochs:25	LearningRate:0.010	BatchSize:64	Model:Linear
Epoch:0	TrainingLoss:2.176	ValidLoss:1.793	Accuracy:34.094
Epoch:1	TrainingLoss:1.746	ValidLoss:1.727	Accuracy:35.683
Epoch:2	TrainingLoss:1.718	ValidLoss:1.715	Accuracy:36.067
Epoch:3	TrainingLoss:1.709	ValidLoss:1.707	Accuracy:35.711
Epoch:4	TrainingLoss:1.702	ValidLoss:1.702	Accuracy:36.850
Epoch:5	TrainingLoss:1.695	ValidLoss:1.698	Accuracy:35.372
Epoch:6	TrainingLoss:1.688	ValidLoss:1.692	Accuracy:36.317
Epoch:7	TrainingLoss:1.678	ValidLoss:1.680	Accuracy:36.711
Epoch:8	TrainingLoss:1.675	ValidLoss:1.674	Accuracy:36.294
Epoch:9	TrainingLoss:1.670	ValidLoss:1.672	Accuracy:37.750
Epoch:10	TrainingLoss:1.669	ValidLoss:1.670	Accuracy:37.217
Epoch:11	TrainingLoss:1.666	ValidLoss:1.666	Accuracy:38.606
Epoch:12	TrainingLoss:1.661	ValidLoss:1.657	Accuracy:42.311
Epoch:13	TrainingLoss:1.654	ValidLoss:1.660	Accuracy:43.556
Epoch:14	TrainingLoss:1.651	ValidLoss:1.654	Accuracy:42.756
Epoch:15	TrainingLoss:1.648	ValidLoss:1.656	Accuracy:42.094
Epoch:16	TrainingLoss:1.636	ValidLoss:1.637	Accuracy:45.456
Epoch:17	TrainingLoss:1.630	ValidLoss:1.635	Accuracy:45.444
Epoch:18	TrainingLoss:1.625	ValidLoss:1.628	Accuracy:45.856
Epoch:19	TrainingLoss:1.624	ValidLoss:1.628	Accuracy:45.894
Epoch:20	TrainingLoss:1.621	ValidLoss:1.626	Accuracy:46.539
Epoch:21	TrainingLoss:1.619	ValidLoss:1.628	Accuracy:45.750
Epoch:22	TrainingLoss:1.617	ValidLoss:1.627	Accuracy:46.478
Epoch:23	TrainingLoss:1.616	ValidLoss:1.623	Accuracy:47.250
Epoch:24	TrainingLoss:1.616	ValidLoss:1.623	Accuracy:46.939
