Trial:162	Epochs:25	LearningRate:0.010	BatchSize:64	Model:CNN
Epoch:0	TrainingLoss:0.887	ValidLoss:0.585	Accuracy:78.683
Epoch:1	TrainingLoss:0.485	ValidLoss:0.460	Accuracy:82.889
Epoch:2	TrainingLoss:0.417	ValidLoss:0.399	Accuracy:85.289
Epoch:3	TrainingLoss:0.380	ValidLoss:0.398	Accuracy:85.306
Epoch:4	TrainingLoss:0.356	ValidLoss:0.370	Accuracy:86.444
Epoch:5	TrainingLoss:0.333	ValidLoss:0.356	Accuracy:86.817
Epoch:6	TrainingLoss:0.323	ValidLoss:0.332	Accuracy:87.700
Epoch:7	TrainingLoss:0.309	ValidLoss:0.331	Accuracy:87.567
Epoch:8	TrainingLoss:0.301	ValidLoss:0.344	Accuracy:87.278
Epoch:9	TrainingLoss:0.289	ValidLoss:0.332	Accuracy:87.683
Epoch:10	TrainingLoss:0.283	ValidLoss:0.318	Accuracy:88.483
Epoch:11	TrainingLoss:0.277	ValidLoss:0.324	Accuracy:88.333
Epoch:12	TrainingLoss:0.268	ValidLoss:0.304	Accuracy:89.094
Epoch:13	TrainingLoss:0.264	ValidLoss:0.333	Accuracy:88.117
Epoch:14	TrainingLoss:0.259	ValidLoss:0.328	Accuracy:88.561
Epoch:15	TrainingLoss:0.253	ValidLoss:0.302	Accuracy:89.100
Epoch:16	TrainingLoss:0.249	ValidLoss:0.307	Accuracy:88.900
Epoch:17	TrainingLoss:0.248	ValidLoss:0.295	Accuracy:89.383
Epoch:18	TrainingLoss:0.242	ValidLoss:0.307	Accuracy:89.139
Epoch:19	TrainingLoss:0.238	ValidLoss:0.306	Accuracy:88.994
Epoch:20	TrainingLoss:0.235	ValidLoss:0.297	Accuracy:89.289
Epoch:21	TrainingLoss:0.230	ValidLoss:0.331	Accuracy:88.600
Epoch:22	TrainingLoss:0.229	ValidLoss:0.293	Accuracy:89.639
Epoch:23	TrainingLoss:0.228	ValidLoss:0.324	Accuracy:88.606
Epoch:24	TrainingLoss:0.224	ValidLoss:0.298	Accuracy:89.511
